Restaurante;(Varios elementos);;;;;;;
;;;;;;;;
Etiquetas de fila;Cuenta de Codigo reserva;Cuenta de Hora en la que se sentó;Promedio de PAX;Cumplimiento;Desercion;;;
1/02/2023;4;2;3,5;50%;50%;;;
2/02/2023;1;;3;0%;100%;;;
5/02/2023;2;;4;0%;100%;;;
6/02/2023;19;15;4,105263158;79%;21%;;;
7/02/2023;29;26;6,310344828;90%;10%;;;
8/02/2023;57;33;3,245614035;58%;42%;;;
9/02/2023;13;10;5,153846154;77%;23%;;;
10/02/2023;82;58;3,597560976;71%;29%;;;
11/02/2023;94;59;4,042553191;63%;37%;;;
12/02/2023;33;22;2,484848485;67%;33%;;;
13/02/2023;46;38;3;83%;17%;;;
14/02/2023;118;82;2,330508475;69%;31%;;;
15/02/2023;62;44;4,419354839;71%;29%;;;
16/02/2023;56;38;2,910714286;68%;32%;;;
17/02/2023;93;55;3,193548387;59%;41%;;;
18/02/2023;111;68;4,459459459;61%;39%;;;
19/02/2023;55;37;2,818181818;67%;33%;;;
20/02/2023;26;20;3,346153846;77%;23%;;;
21/02/2023;50;38;3,2;76%;24%;;;
22/02/2023;57;44;4,105263158;77%;23%;;;
23/02/2023;80;55;3,575;69%;31%;;;
24/02/2023;132;81;3,537878788;61%;39%;;;
25/02/2023;129;71;3,496124031;55%;45%;;;
26/02/2023;61;50;3,475409836;82%;18%;;;
27/02/2023;36;30;3,194444444;83%;17%;;;
28/02/2023;33;26;4,212121212;79%;21%;;;
1/03/2023;58;44;4,362068966;76%;24%;;;
2/03/2023;68;43;3,720588235;63%;37%;;;
3/03/2023;122;81;3,483606557;66%;34%;;;
4/03/2023;130;73;3,715384615;56%;44%;;;
5/03/2023;45;33;3,2;73%;27%;;;
6/03/2023;26;16;2,692307692;62%;38%;;;
7/03/2023;83;58;3,457831325;70%;30%;;;
8/03/2023;175;111;3;63%;37%;;;
9/03/2023;86;66;4,313953488;77%;23%;;;
10/03/2023;311;222;3,45659164;71%;29%;;;
11/03/2023;316;191;3,892405063;60%;40%;;;
12/03/2023;98;68;4,540816327;69%;31%;;;
13/03/2023;50;40;7;80%;20%;;;
14/03/2023;122;98;4,237704918;80%;20%;;;
15/03/2023;128;89;3,859375;70%;30%;;;
16/03/2023;112;80;4,464285714;71%;29%;;;
17/03/2023;282;186;3,578014184;66%;34%;;;
18/03/2023;315;202;3,247619048;64%;36%;;;
19/03/2023;209;137;3,636363636;66%;34%;;;
20/03/2023;70;53;3,071428571;76%;24%;;;
21/03/2023;77;50;3,714285714;65%;35%;;;
22/03/2023;138;109;3,905797101;79%;21%;;;
23/03/2023;173;114;3,895953757;66%;34%;;;
24/03/2023;308;201;4,298701299;65%;35%;;;
25/03/2023;379;221;4,071240106;58%;42%;;;
26/03/2023;114;78;3,473684211;68%;32%;;;
27/03/2023;51;34;4,019607843;67%;33%;;;
28/03/2023;77;65;3,220779221;84%;16%;;;
29/03/2023;95;74;4,610526316;78%;22%;;;
30/03/2023;166;111;3,987951807;67%;33%;;;
31/03/2023;362;246;3,698895028;68%;32%;;;
1/04/2023;337;240;3,513353116;71%;29%;;;
2/04/2023;93;54;3,376344086;58%;42%;;;
3/04/2023;75;52;3,573333333;69%;31%;;;
4/04/2023;125;102;3,52;82%;18%;;;
5/04/2023;183;134;3,606557377;73%;27%;;;
6/04/2023;213;157;3,042253521;74%;26%;;;
7/04/2023;195;148;3,112820513;76%;24%;;;
8/04/2023;312;214;3,128205128;69%;31%;;;
9/04/2023;78;60;3,141025641;77%;23%;;;
10/04/2023;40;30;2,95;75%;25%;;;
11/04/2023;87;74;3,172413793;85%;15%;;;
12/04/2023;104;82;3,788461538;79%;21%;;;
13/04/2023;127;101;4,220472441;80%;20%;;;
14/04/2023;335;232;3,788059701;69%;31%;;;
15/04/2023;391;280;3,498721228;72%;28%;;;
16/04/2023;84;62;3,047619048;74%;26%;;;
17/04/2023;40;30;4,25;75%;25%;;;
18/04/2023;94;76;3,787234043;81%;19%;;;
19/04/2023;131;95;4,221374046;73%;27%;;;
20/04/2023;157;113;3,859872611;72%;28%;;;
21/04/2023;300;196;3,853333333;65%;35%;;;
22/04/2023;372;243;3,443548387;65%;35%;;;
23/04/2023;91;70;3,175824176;77%;23%;;;
24/04/2023;30;28;4,166666667;93%;7%;;;
25/04/2023;116;89;3,5;77%;23%;;;
26/04/2023;138;104;4,043478261;75%;25%;;;
27/04/2023;216;151;3,976851852;70%;30%;;;
28/04/2023;315;220;4,041269841;70%;30%;;;
29/04/2023;414;287;3,504830918;69%;31%;;;
30/04/2023;261;202;3,318007663;77%;23%;;;
1/05/2023;65;46;3,369230769;71%;29%;;;
2/05/2023;78;55;2,653846154;71%;29%;;;
3/05/2023;79;54;2,82278481;68%;32%;;;
4/05/2023;148;110;3,554054054;74%;26%;;;
5/05/2023;316;226;3,392405063;72%;28%;;;
6/05/2023;336;257;3,461309524;76%;24%;;;
7/05/2023;131;96;3,259541985;73%;27%;;;
8/05/2023;44;32;5,295454545;73%;27%;;;
9/05/2023;111;85;3,711711712;77%;23%;;;
10/05/2023;98;74;4,244897959;76%;24%;;;
11/05/2023;121;80;4,016528926;66%;34%;;;
12/05/2023;335;222;3,208955224;66%;34%;;;
13/05/2023;432;296;3,490740741;69%;31%;;;
14/05/2023;324;199;4,086419753;61%;39%;;;
15/05/2023;55;39;4;71%;29%;;;
16/05/2023;84;65;4,083333333;77%;23%;;;
17/05/2023;117;87;3,914529915;74%;26%;;;
18/05/2023;155;123;4,141935484;79%;21%;;;
19/05/2023;336;237;3,607142857;71%;29%;;;
20/05/2023;372;268;3,182795699;72%;28%;;;
21/05/2023;190;151;3,173684211;79%;21%;;;
22/05/2023;68;53;2,970588235;78%;22%;;;
23/05/2023;78;49;3,679487179;63%;37%;;;
24/05/2023;112;81;3,3125;72%;28%;;;122900
25/05/2023;165;122;4,054545455;74%;26%;;;117000
26/05/2023;324;242;3,787037037;75%;25%;;;119900
27/05/2023;387;247;3,602067183;64%;36%;;;
28/05/2023;126;94;3,420634921;75%;25%;;;
29/05/2023;46;38;2,891304348;83%;17%;;;
30/05/2023;111;89;2,855855856;80%;20%;;;
31/05/2023;137;107;3,087591241;78%;22%;;;
1/06/2023;166;126;3,668674699;76%;24%;;;
2/06/2023;296;236;3,851351351;80%;20%;;;
3/06/2023;408;292;3,637254902;72%;28%;;;
4/06/2023;89;69;3,157303371;78%;22%;;;
5/06/2023;50;39;3,36;78%;22%;;;
